ID,Edge,R2,R4,ep,as,J,Je,ep1,ep2,ti,to,R1,R3,R5,t1,t2,t3,t4,Convection,Radiation,‚‘t,SAT,ar,ƒ°R
1917,Hoka,0.09917,4.48776,0.70194,0.9122,350.65094,108.71306,0.64189,0.36276,10.25384,11.82603,0.04,0.037423519,0.11,22.31343304,22.06082203,21.96549488,10.53403776,2.383178671,0.164073661,2.547252332,22.41532314,1.721164083,4.774353519
1918,Hoka,0.08121,1.86298,0.1752,0.89726,967.0504,22.33267,0.09757,0.72308,35.10612,28.58136,0.04,0.03915952,0.11,65.55531356,64.37405884,63.80445696,36.70614487,14.24004686,0.305633771,14.54568063,66.13714079,0.536574377,2.13334952
1919,Hoka,0.04227,0.10303,0.96609,0.59433,486.06038,84.99896,0.06998,0.16025,23.38391,13.36451,0.04,0.039538026,0.11,22.47723865,22.60722527,22.72881066,23.04564343,-3.039634658,-0.035515997,-3.075150655,22.35423263,0.292107447,0.334838026
1920,Hoka,0.05835,6.52916,0.44904,0.10052,68.02988,120.71408,0.54178,0.88406,-4.31852,37.87223,0.04,0.035860612,0.11,35.57579681,35.23008089,35.01761158,-3.666784769,5.311732788,0.613132945,5.924865733,35.81279144,2.885748256,6.773370612
1921,Hoka,0.01086,6.93864,0.47849,0.54927,524.30553,61.36599,0.8285,0.72471,13.76734,-8.89389,0.04,0.034971072,0.11,2.414566347,2.431944827,2.487906527,13.59131488,-1.3990425,-0.201185838,-1.600228338,2.350557213,3.595063009,7.134471072
1922,Hoka,0.09866,2.82716,0.74864,0.79278,626.23854,138.90679,0.16606,0.16617,-3.97446,35.67346,0.04,0.03918994,0.11,52.00948592,50.21327186,49.4997758,-1.971788733,17.83740153,0.368700895,18.20610242,52.73773002,0.51675253,3.11500994
1923,Hoka,0.05834,5.2184,0.79697,0.38548,469.84731,79.45653,0.2885,0.81216,18.4563,-9.88787,0.04,0.037674852,0.11,-4.596474234,-4.348539869,-4.188428616,17.98882005,-4.002781336,-0.24703636,-4.249817697,-4.766466942,1.542904418,5.464414852
1924,Hoka,0.03571,2.89183,0.9664,0.25215,99.52272,4.8724,0.29456,0.37513,33.7398,17.02036,0.04,0.038274138,0.11,18.10996745,18.29142878,18.48591984,33.18083203,-4.862276582,-0.219250407,-5.081526988,17.90670637,1.127303245,3.115814138
1925,Hoka,0.04221,5.79656,0.27053,0.1199,91.20046,95.09122,0.16552,0.05453,24.55711,39.11701,0.04,0.039613365,0.11,38.38162031,38.28417622,38.1927266,24.81105101,2.286240447,0.022314211,2.308554658,38.4739625,0.244005511,6.028383365
1926,Hoka,0.04388,0.8251,0.63222,0.80272,683.39927,4.79967,0.41674,0.84736,9.30177,36.85874,0.04,0.036749255,0.11,58.63525537,56.5040247,54.71913093,14.64441753,44.62234428,3.947178692,48.56952297,60.57803629,2.211436196,1.055729255
1927,Hoka,0.09292,2.55652,0.20196,0.61915,608.95026,55.7309,0.48258,0.81702,20.38549,3.8917,0.04,0.036384101,0.11,19.80333933,19.82268728,19.83026323,20.36258564,-0.189398797,-0.018822695,-0.208221492,19.79501047,2.484532086,2.835824101
1928,Hoka,0.092,2.87673,0.69584,0.24345,654.90778,99.74937,0.74666,0.29616,31.93646,38.77408,0.04,0.037685677,0.11,42.55207357,42.23868905,42.11031831,32.31115889,3.209268492,0.197085048,3.40635354,42.68832771,1.535280145,3.156415677
1929,Hoka,0.07928,3.56139,0.61008,0.94272,911.38114,1.06093,0.58267,0.86502,-7.55689,-8.59626,0.04,0.035654413,0.11,28.35177905,27.59990495,27.26176632,-6.513674162,8.453465623,1.030314722,9.483780345,28.73113027,3.047018726,3.826324413
1930,Hoka,0.04585,1.37602,0.46512,0.26828,612.92071,127.92903,0.87198,0.18143,-9.75999,31.72574,0.04,0.038449441,0.11,35.1441791,33.83307252,32.73358909,-6.614478029,27.48708579,1.108477587,28.59556338,36.28800164,1.008180347,1.610319441
1931,Hoka,0.00256,4.51181,0.15874,0.28994,474.00999,12.87662,0.652,0.63389,15.0843,24.38877,0.04,0.036098396,0.11,30.14603777,30.13776434,30.02110127,15.43979885,2.916576856,0.31523087,3.231807727,30.27531008,2.702062091,4.700468396
1932,Hoka,0.0232,6.24813,0.37928,0.14382,255.28219,26.61348,0.63666,0.12184,35.53488,24.34398,0.04,0.038986519,0.11,25.56352653,25.5995583,25.66010802,35.36403969,-1.513742963,-0.039350789,-1.553093752,25.50140278,0.649892186,6.460316519
1933,Hoka,0.05479,2.46246,0.6773,0.76223,638.0182,34.57456,0.32531,0.47717,28.84458,15.7451,0.04,0.037924499,0.11,35.76725663,35.62494195,35.52643469,29.13030029,2.462681533,0.134775644,2.597457177,35.87115492,1.368179791,2.705174499
1934,Hoka,0.02521,2.88874,0.03287,0.31312,565.1079,22.56338,0.12055,0.5801,18.87856,39.12716,0.04,0.039012928,0.11,46.42846272,46.20171069,45.85080786,19.86795797,8.772570933,0.221956054,8.994526987,46.7882438,0.632528525,3.102962928
1935,Hoka,0.02437,5.16768,0.73423,0.39481,415.17627,54.86738,0.63408,0.46097,16.80467,23.09271,0.04,0.036931443,0.11,28.38121544,28.32837383,28.24829516,17.04318366,2.001966733,0.166339257,2.16830599,28.46794768,2.077198065,5.378981443
1936,Hoka,0.05144,2.58637,0.63509,0.62191,991.00199,104.47431,0.36975,0.31251,35.78043,-1.92591,0.04,0.038221612,0.11,22.18079921,22.4318965,22.61847005,35.2434801,-4.664338757,-0.217023944,-4.881362701,21.9855447,1.163208522,2.826031612
1937,Hoka,0.02231,3.48263,0.26176,0.7542,199.95368,85.13503,0.77301,0.83002,16.35304,3.51774,0.04,0.034713518,0.11,9.184142028,9.22796485,9.296151506,16.13697051,-1.704666404,-0.259601693,-1.964268097,9.105571304,3.807221347,3.689653518
1938,Hoka,0.02432,5.60367,0.70416,0.27609,40.28213,140.2137,0.98805,0.7859,17.48405,-0.85896,0.04,0.033965955,0.11,-4.515691161,-4.422995772,-4.293534939,17.06478631,-3.236520833,-0.574967219,-3.811488052,-4.668150683,4.441244541,5.811955955
1939,Hoka,0.0921,1.03302,0.49314,0.94477,186.47999,92.10796,0.06525,0.32652,-1.15759,-13.05605,0.04,0.03948186,0.11,-7.181839225,-6.746539881,-6.559933716,-1.677491497,-4.665154114,-0.061223129,-4.726377243,-7.370894315,0.328087387,1.31460186
1940,Hoka,0.09393,0.89904,0.866,0.4913,492.29403,24.92227,0.12416,0.7922,16.8537,6.32831,0.04,0.03893175,0.11,15.93784274,16.01317888,16.04440392,16.76547499,-0.78062596,-0.021419626,-0.802045586,15.90576092,0.685975985,1.18190175
1941,Hoka,0.01512,1.96375,0.88153,0.54751,997.72749,116.33629,0.18473,0.34429,4.95934,39.48119,0.04,0.038790384,0.11,57.7799818,57.40461734,56.4416192,7.690166142,24.0749535,0.750738697,24.8256922,58.77300949,0.779584784,2.167660384
1942,Hoka,0.03466,4.49706,0.67541,0.32387,990.3711,51.17404,0.96253,0.40891,27.66658,0.32144,0.04,0.0366351,0.11,12.89073152,13.00019968,13.11590588,27.31916231,-2.892654942,-0.265687715,-3.158342657,12.76439782,2.296227173,4.7183551
1943,Hoka,0.04466,5.15616,0.68105,0.96582,481.25409,60.59275,0.42729,0.5435,15.29049,12.99567,0.04,0.037322012,0.11,31.29070211,31.15709132,31.04543384,15.61958061,2.791437201,0.200295643,2.991732844,31.41037143,1.793839776,5.388142012
1944,Hoka,0.05878,4.70782,0.7993,0.79838,143.06983,90.91783,0.67286,0.17405,2.04453,-14.2909,0.04,0.038586999,0.11,-12.36694622,-12.19460149,-12.08146324,1.722006689,-2.828456043,-0.103574055,-2.932030098,-12.48422742,0.915464599,4.955186999
1945,Hoka,0.095,6.21546,0.09726,0.85531,719.9346,13.30818,0.92784,0.69216,11.5013,26.91021,0.04,0.034786261,0.11,53.36700219,52.7508767,52.52526932,12.21470845,5.640184642,0.845346737,6.485531379,53.62642344,3.746981663,6.495246261
1946,Hoka,0.09631,2.35531,0.65468,0.19262,249.71539,102.75797,0.64701,0.93486,-9.86771,26.04922,0.04,0.035048512,0.11,24.68335666,23.40186338,22.93551064,-8.404058666,11.65881851,1.64710271,13.30592122,25.21559351,3.531881701,2.636668512
1947,Hoka,0.0841,3.52865,0.98704,0.31957,961.94844,64.87748,0.9254,0.95004,27.20797,35.64674,0.04,0.033295268,0.11,46.02776191,45.60637602,45.43954895,27.75912872,4.170676631,0.839857208,5.010533838,46.22818327,5.03429828,3.796045268
1948,Hoka,0.02168,4.11328,0.21579,0.57067,299.88509,67.43547,0.06131,0.18292,14.66886,-8.85305,0.04,0.039565459,0.11,-1.890474017,-1.806682623,-1.653765418,14.24371916,-3.822930118,-0.041986586,-3.864916704,-2.045070685,0.274570715,4.324525459
1949,Hoka,0.04896,5.00121,0.72756,0.21931,512.84102,79.58471,0.22449,0.3808,14.84651,12.53009,0.04,0.038553162,0.11,14.90220549,14.90168097,14.90126793,14.84768846,0.010325791,0.00038751,0.010713302,14.90263402,0.938210005,5.238723162
1950,Hoka,0.04623,5.19819,0.8259,0.46166,866.01766,84.93775,0.60552,0.13327,35.86932,23.69583,0.04,0.038911184,0.11,38.01278611,37.99441297,37.97894854,35.91303719,0.386610806,0.010818173,0.39742898,38.02868327,0.69955193,5.433331184
1951,Hoka,0.00855,6.71625,0.69199,0.93251,881.53454,60.18561,0.0721,0.19512,17.61992,23.31704,0.04,0.039499102,0.11,57.01787623,56.9688745,56.7424974,18.25035157,5.659427523,0.07176858,5.731196103,57.24712407,0.317031095,6.914299102
1952,Hoka,0.06303,4.46482,0.91061,0.12347,334.38083,109.03119,0.7109,0.29236,29.55053,27.69557,0.04,0.037749171,0.11,25.21100397,25.26950349,25.30453933,29.44843659,-0.875895807,-0.052226102,-0.928121909,25.17387909,1.490648253,4.715599171
1953,Hoka,0.00984,6.37012,0.31889,0.55338,870.0977,133.66704,0.62261,0.19409,6.45944,-8.55607,0.04,0.038475292,0.11,10.50045673,10.4943659,10.47055019,6.527528573,0.595392661,0.023594362,0.618987024,10.52521621,0.990705953,6.568435292
1954,Hoka,0.05059,6.93066,0.85175,0.91417,773.03021,138.98584,0.08038,0.36727,23.54865,31.5417,0.04,0.039365768,0.11,56.93268229,56.69583063,56.51152845,24.06364669,4.607554669,0.074233465,4.681788134,57.11995382,0.402781252,7.170615768
1955,Hoka,0.0688,1.702,0.4234,0.2721,304.41592,9.45932,0.21179,0.20889,3.48581,-3.58978,0.04,0.038955279,0.11,-0.088075613,0.040004946,0.112525497,3.281030036,-1.813013764,-0.048622275,-1.861636039,-0.162541055,0.670462026,1.959755279
1956,Hoka,0.07991,2.62479,0.98649,0.63632,370.89615,145.78251,0.27724,0.9094,-7.79511,26.02914,0.04,0.037680241,0.11,29.51444067,28.46920618,27.97634311,-6.356293915,12.32157672,0.758569511,13.08014623,30.03764652,1.539108039,2.892380241
1957,Hoka,0.0089,6.16076,0.9804,0.16279,468.44635,10.83063,0.1866,0.74267,3.95108,-11.5863,0.04,0.038461714,0.11,-8.652591791,-8.634837673,-8.558112525,3.73164708,-1.918128694,-0.076716033,-1.994844728,-8.73238558,0.999881207,6.358121714
1958,Hoka,0.08765,5.42232,0.67471,0.85123,662.06636,60.96664,0.40576,0.21667,4.5985,-6.26302,0.04,0.038552986,0.11,16.36838523,16.18607079,16.10587951,4.82730306,2.004782063,0.075245757,2.08002782,16.45158635,0.938328392,5.698522986
1959,Hoka,0.09929,4.37358,0.40847,0.70693,58.35198,148.23001,0.62508,0.30898,19.86707,6.93265,0.04,0.037754234,0.11,6.211871853,6.50530074,6.616874742,19.54199016,-2.789350065,-0.165921226,-2.955271292,6.093661002,1.487095759,4.660624234
1960,Hoka,0.09785,2.268,0.31826,0.42297,268.22256,64.21095,0.72881,0.13258,-1.13915,8.38922,0.04,0.03887905,0.11,12.22081344,11.7009672,11.49441505,-0.554754644,5.163803696,0.148881357,5.312685053,12.43332084,0.72079307,2.55472905
1961,Hoka,0.03353,2.93306,0.29734,0.46965,271.966,114.63248,0.33362,0.92556,16.89461,32.18477,0.04,0.037239058,0.11,36.01068513,35.80484146,35.57622755,17.56990984,5.715347735,0.423741719,6.139089453,36.25624871,1.853525535,3.153829058
1962,Hoka,0.00159,4.56113,0.96399,0.44725,966.3376,107.45434,0.21459,0.76411,27.0439,27.38546,0.04,0.038243627,0.11,41.54966712,41.54477127,41.42701338,27.38260658,2.943947284,0.135203452,3.079150736,41.67283315,1.148147702,4.750963627
1963,Hoka,0.09262,4.551,0.06321,0.44195,537.99901,47.92121,0.11275,0.60166,1.79172,27.49352,0.04,0.039064722,0.11,37.4023795,36.71419334,36.42393421,2.609043227,7.256478272,0.173732887,7.430211159,37.69958795,0.59854409,4.832684722
1964,Hoka,0.03301,5.79258,0.77143,0.43023,41.11738,111.76359,0.67135,0.05388,4.54072,37.36852,0.04,0.039526505,0.11,34.19055923,34.02675637,33.83061717,5.086564138,4.903479789,0.058739643,4.962219432,34.38904801,0.29947938,6.015116505
1965,Hoka,0.08234,6.08144,0.10612,0.44373,627.48202,119.27464,0.82562,0.69115,-8.16073,29.1099,0.04,0.035160928,0.11,40.35772514,39.72449531,39.45409273,-7.314782934,6.760064507,0.930363363,7.69042787,40.66534226,3.44066008,6.348940928
1966,Hoka,0.03763,4.21302,0.93406,0.57659,299.24692,36.92434,0.06473,0.95289,38.09134,7.43689,0.04,0.039419589,0.11,13.66129229,13.87022142,14.08908669,37.48059847,-5.471631806,-0.080563953,-5.552195759,13.43920446,0.368098385,4.440069589
1967,Hoka,0.02718,0.39939,0.0472,0.73429,818.39534,15.50173,0.87655,0.65979,-6.06828,30.31884,0.04,0.035156807,0.11,52.32914532,49.55292073,45.96192762,5.167360351,89.77482768,12.36735733,102.142185,56.41483272,3.443993615,0.611726807
1968,Hoka,0.09759,1.14341,0.31895,0.2223,247.63663,129.36244,0.47981,0.60673,17.63445,20.74213,0.04,0.03691684,0.11,21.23782248,20.98445491,20.88860974,17.92003698,2.396129265,0.200115966,2.596245231,21.34167229,2.087908707,1.42791684
